,Major,Number of Student
0,Psychology,1714
1,Integrative Physiology,1379
2,Economics,1261
3,A&S - Open Option,1168
4,Finance,926
5,Mechanical Engineering,736
6,Political Science,713
7,Aerospace Engineering Sciences,711
8,Computer Science,708
9,Management,667
10,Ecology & Evolutionary Biology,645
11,Environmental Studies,640
12,Biological Sciences-MCD,573
13,Marketing,565
14,Accounting,532
15,Sociology,516
16,International Affairs,475
17,English,431
18,Physics,392
19,Law,387
20,Business - Open Option,375
21,Studio Arts,366
22,Mathematics,357
23,Biochemistry,347
24,Film Studies,341
25,Astronomy,324
26,History,315
27,Anthropology,281
28,Civil Engineering,256
29,Philosophy,250
30,Electrical Engineering,234
31,Chemical & Biological Engin,219
32,Chemical Engineering,213
33,Architecture,193
34,Applied Mathematics,187
35,Environmental Design,185
36,Chemistry,182
37,"Speech,Lang,Hearing Sciences",178
38,Electrical & Comp Engineering,171
39,"Soc, Mult & Biling-Eq, Ed & Cd",170
40,"Technology, Arts & Media",164
41,Pre-Medical,158
42,Geography,155
43,Master of Business Admin,150
44,Environmental Engineering,148
45,Professional MBA Program,140
46,Geology,131
47,Engineering Management,127
48,Architectural Engineering,126
49,Linguistics,104
50,Non-Degree High School,102
51,Ethnic Studies,100
52,Art History,98
53,Spanish,92
54,Theatre,83
55,Humanities,80
56,Atmospheric & Oceanic Sciences,77
57,French,75
58,Music,74
59,Engineering - Open Option,70
60,Denver Concurrent,68
61,Colorado Springs Concurrent,67
62,Dance,67
63,Music Education,64
64,Japanese,61
65,Classics,58
66,Germanic Studies,54
67,Chinese,54
68,Pre-Nursing,53
69,Educ-Curriculum & Instruction,52
70,Engineering Physics,51
71,Real Estate,50
72,Women's Studies,41
73,Communication,39
74,Telecommunications,36
75,Music - Arts,34
76,Design Studies,34
77,Planning,28
78,Asian Studies,28
79,Distributed Studies,21
80,Audiology,17
81,Elementary Education,17
82,Religious Studies,17
83,Russian Studies,17
84,Pre-Dentistry,13
85,"Educ Foundations, Pol & Prac",11
86,Italian,10
87,Pre-Physical Therapy,10
88,Science - Secondary,8
89,Master of Laws,7
90,Educ Psychological Studies,6
91,Computer Engineering,5
92,Accounting - Taxation,4
93,Music Educ-Elem Sec or K-12,4
94,Business Administration,4
95,Astrophysical & Planetary Sci,3
96,Undergrad Initial Statistics,3
97,Mathematics - Secondary,3
98,Social Studies - Secondary,3
99,Asian Languages & Civs,3
100,Graduate Initial Statistics,3
101,English - Secondary,3
102,Media Studies,3
103,Pre-Pharmacy,3
104,Post-Master Performance Cert,2
105,CNV-NCHS Addl Major or Minor,2
106,Advertising,1
107,Non-Degree Unclassified,1
108,Music - Undeclared,1
109,News - Editorial,1
110,Operation Mgmt Info Systems,1
111,Educ-Research & Eval Methodol,1
112,Neuroscience,1
113,Math Dept Majr in Applied Math,1
114,Comparative Literature,1
115,"Tech, Media & Society (ATLAS)",1
116,Scandinavian Studies,1
117,English Lit-Creative Writing,1
118,Information Systems,1
119,Pre-Journalism & Mass Comm,1
